Mw,Rhyp,Vs30,FM,SA(T=0),SA(T=0.01),SA(T=0.015),SA(T=0.02),SA(T=0.03),SA(T=0.04),SA(T=0.05),SA(T=0.06),SA(T=0.075),Sa(T0.09),Sa(T0.1),Sa(T0.15),Sa(T=0.2),Sa(T=0.3),Sa(T=0.4),Sa(T=0.5),Sa(T=0.6),Sa(T=0.7),Sa(T=0.75),Sa(T=0.8),Sa(T=0.9),Sa(T=1),Sa(T=1.2),Sa(T=1.5),Sa(T=2),Sa(T=2.5),Sa(T=3),Sa(T=4)
6.8,821.5805297,635,3,0.00010655,0.0001065637,0.00010658425,0.0001066048,0.0001066728,0.0001067658,0.0001068367,0.0001069374,0.0001073999,0.0001076828,0.000108105,0.0001096418,0.0001138822,0.0001358835,0.0001513149,0.0001812121,0.0001896098,0.0002476414,0.0002867265,0.0002863024,0.0002615514,0.0002442343,0.000290323,0.0002846427,0.0001784523,0.0002108458,0.0001544755,0.0001700364
6.66,731.662095,635,3,0.00014236,0.0001423937,0.0001424447,0.0001424957,0.0001426634,0.000142879,0.0001431529,0.0001432188,0.0001444531,0.0001453576,0.0001435861,0.0001650682,0.0001807599,0.0002897102,0.0002904627,0.00030036,0.0003631993,0.0005550934,0.0006509381,0.0006510583,0.0004879519,0.0005497181,0.0003148306,0.0002619259,0.000378016,0.0001684909,0.0001242037,6.904123E-05
6.62,457.6751936,635,3,0.00037606,0.0003763058,0.0003766823,0.0003770588,0.0003783675,0.0003802764,0.0003835661,0.0003840838,0.0003920033,0.000403787,0.0004114437,0.0005307748,0.0005240212,0.0007345659,0.0008291385,0.001186365,0.0009825622,0.001134221,0.001135274,0.001132267,0.0009975093,0.0006790278,0.0007917707,0.0008949423,0.0004579216,0.0002543266,0.0001197866,6.119444E-05
6.53,617.9106826,635,3,0.00015648,0.0001565166,0.0001565786,0.0001566406,0.0001568947,0.0001572795,0.000157931,0.0001580934,0.0001596366,0.0001616114,0.00016338,0.0001725353,0.0001658918,0.00024424,0.0003050099,0.0004527252,0.0004451836,0.000460881,0.0004286356,0.000350995,0.0004059907,0.0003664964,0.0003963888,0.0003977591,0.0003557572,0.0002072696,0.0001558619,8.409085E-05
6.5,910.56321,455,3,8.7238E-05,8.729543E-05,8.737628E-05,8.745713E-05,8.773449E-05,8.817438E-05,8.886061E-05,8.935325E-05,9.10251E-05,9.171313E-05,9.475836E-05,0.0001138143,0.00016531,0.000175818,0.0002556838,0.0002044751,0.0002718536,0.0003489893,0.0003173838,0.0002778982,0.0001266109,8.493967E-05,6.09177E-05,4.332174E-05,2.112744E-05,2.23283E-05,3.001891E-05,1.568519E-05
6.5,510.1849307,635,3,0.00038537,0.0003856494,0.00038608775,0.0003865261,0.0003879514,0.000390309,0.0003955084,0.0004025572,0.0004233155,0.000425378,0.0004351196,0.0004929425,0.0005555709,0.0008608725,0.0009107808,0.001155464,0.001539924,0.001490352,0.001329308,0.001384177,0.001101968,0.0009076799,0.0005831538,0.0003169452,0.0002013602,0.0001297968,0.0001084089,7.937751E-05
6.54,92.5377509,635,3,0.005508,0.005518654,0.0055348755,0.005551097,0.005623644,0.005745075,0.006076569,0.006241581,0.007445211,0.008264819,0.009089565,0.01188104,0.01490687,0.01300444,0.01222036,0.01668957,0.01135398,0.00789141,0.007813167,0.00724342,0.00846232,0.008253897,0.006335208,0.00274171,0.002245874,0.001289651,0.0007614834,0.0004284422
6.54,838.4738396,455,3,8.3904E-05,8.395132E-05,8.4022155E-05,8.409299E-05,8.445267E-05,8.489261E-05,8.542338E-05,8.606933E-05,8.784798E-05,8.943639E-05,9.113686E-05,0.0001213169,0.000207704,0.0002555297,0.0002385653,0.0002118758,0.0002395952,0.0002869315,0.0003398126,0.0003178544,0.0001854629,0.0001428362,7.696158E-05,8.851525E-05,5.631208E-05,2.051807E-05,1.38409E-05,1.370279E-05
6.54,432.1134705,635,3,0.00027532,0.000275454,0.00027567155,0.0002758891,0.0002766997,0.0002780154,0.000288869,0.0002851729,0.0002903158,0.0002909834,0.000306488,0.0003431093,0.0003771333,0.0004705375,0.0008315726,0.0009192138,0.001036629,0.0009150167,0.0007968999,0.0006821712,0.0008207826,0.0007113076,0.000594529,0.0005165511,0.00025868,0.0001361217,9.405163E-05,6.503752E-05
6.39,410.7015735,455,3,0.00043402,0.000434387,0.0004349838,0.0004355806,0.0004380806,0.0004420028,0.0004483386,0.0004521629,0.0004646908,0.0004787102,0.0004831906,0.0007281708,0.0009738019,0.001342881,0.001399181,0.001214614,0.001264218,0.001523292,0.001606521,0.001377147,0.0009464114,0.0006417596,0.0004273063,0.0002541397,0.0001483499,0.0001049429,8.408033E-05,6.535553E-05
6.39,74.0838547,635,3,0.0032255,0.003229226,0.003233896,0.003238566,0.003252962,0.003290006,0.003333261,0.003426742,0.003718436,0.004192612,0.004203713,0.004993257,0.004829585,0.005923137,0.00923868,0.010802,0.008801001,0.007089593,0.0055986,0.005498693,0.005400722,0.005576929,0.003253985,0.0030417,0.001577366,0.0009399873,0.001063483,0.0008653514
6.39,72.1619515,635,3,0.003399,0.003426761,0.003467555,0.003508349,0.003673016,0.00394755,0.004470161,0.006801108,0.006769135,0.006626586,0.006592495,0.006226248,0.007292347,0.009650775,0.00807543,0.007018446,0.005987268,0.004931973,0.004455091,0.004735686,0.004672153,0.003985353,0.002512499,0.002019171,0.00147966,0.0009200421,0.001118175,0.001110012
6.44,334.7679304,455,3,0.00057442,0.0005745991,0.00057486845,0.0005751378,0.0005760089,0.0005770247,0.0005868435,0.0006165194,0.0006903416,0.0007082085,0.0007048417,0.0009821958,0.001124107,0.001434082,0.001737152,0.001412091,0.002067328,0.002224167,0.00209501,0.002082498,0.001716775,0.001185723,0.0005158441,0.0002925916,0.0001865836,0.0002010242,0.0001360209,8.291886E-05
6.44,129.9352052,635,3,0.0017332,0.001735489,0.0017404025,0.001745316,0.001761528,0.001791945,0.00186639,0.001817728,0.001874124,0.002025495,0.002276725,0.002436948,0.002923734,0.003153476,0.00317351,0.004155627,0.006320016,0.005234576,0.004814111,0.004879893,0.004777778,0.003105037,0.00270945,0.002041377,0.001681168,0.001315947,0.000973505,0.0008388719
6.42,357.4707503,455,3,0.00072262,0.0007232744,0.00072427155,0.0007252687,0.0007287062,0.0007340541,0.0007386313,0.0007600526,0.0007939222,0.0007894654,0.0008264834,0.001004065,0.00108143,0.001824601,0.003448804,0.001941238,0.001424724,0.001433144,0.001389913,0.00133742,0.0009319384,0.0006162678,0.0003464051,0.0002554201,0.0001530284,0.0002051054,0.0001222288,8.180857E-05
6.43,680.7040945,635,3,0.00029285,0.0002929495,0.00029310795,0.0002932664,0.0002937381,0.000294147,0.0002987749,0.0003018277,0.000302876,0.0003014834,0.0003665063,0.00035502,0.0003685165,0.0005457156,0.000757109,0.001083572,0.00140208,0.0008161697,0.0007535956,0.0006325733,0.0005384077,0.0004315353,0.000436241,0.0003523241,0.000197709,0.0001339071,9.196004E-05,6.876861E-05
6.42,124.8070061,635,3,0.0051825,0.005187807,0.00519606,0.005204313,0.005233915,0.005287881,0.005387191,0.005470181,0.005548094,0.006578654,0.007419471,0.008712434,0.008403705,0.01021983,0.02039189,0.0151549,0.01302745,0.009442249,0.006352666,0.004530529,0.003749009,0.002889316,0.002536749,0.002655535,0.001946168,0.001498521,0.0009008082,0.0005265035
6.42,883.9409016,455,3,6.8163E-05,6.820618E-05,6.8271055E-05,6.833593E-05,6.855644E-05,6.890819E-05,6.949699E-05,7.10151E-05,7.189977E-05,7.548065E-05,7.705463E-05,0.0001219514,0.0001483038,0.0002024534,0.0002371301,0.0001728286,0.0002422887,0.000291303,0.0003009297,0.0002623297,0.0001592263,0.0001142148,6.837083E-05,4.845257E-05,5.749178E-05,4.278547E-05,3.132254E-05,2.293429E-05
6.42,476.8355464,635,3,0.00034408,0.0003441685,0.0003442984,0.0003444283,0.0003448627,0.0003454514,0.0003464707,0.0003469983,0.0003474544,0.0003528331,0.0003640374,0.0003788973,0.0004525493,0.0006099437,0.0007416084,0.0009410391,0.001117171,0.001146461,0.001319898,0.001310276,0.0009430839,0.0008149734,0.0007062256,0.0005381681,0.0003389346,0.0002852008,0.0002653885,0.000188389
6.4,995.2157162,635,3,3.1542E-05,3.155636E-05,3.1577805E-05,3.159925E-05,3.167195E-05,3.17766E-05,3.199982E-05,3.218886E-05,3.240519E-05,3.313658E-05,3.360503E-05,3.853614E-05,4.810244E-05,6.891874E-05,8.115646E-05,8.913829E-05,9.818569E-05,0.0001082468,9.716828E-05,8.380589E-05,8.016053E-05,8.776943E-05,7.126404E-05,7.76302E-05,4.961407E-05,4.068072E-05,3.227505E-05,2.755883E-05
6.44,337.8271794,635,3,0.00042712,0.0004273173,0.0004276229,0.0004279285,0.0004290213,0.0004308346,0.0004365758,0.0004440586,0.0004456928,0.0004760477,0.000502281,0.0006860219,0.0006536905,0.0008397857,0.00102048,0.001391615,0.001265913,0.001017392,0.001080515,0.001172906,0.001303522,0.0010542,0.001148508,0.0007705759,0.0004832176,0.00037353,0.0002895884,0.0001307912
6.44,57.0354556,635,3,0.0097892,0.009891459,0.0100594795,0.0102275,0.01090057,0.01303448,0.02056838,0.03664813,0.03712315,0.02708547,0.02759401,0.02176086,0.01854132,0.01470326,0.01306029,0.01125824,0.01040384,0.005867633,0.004735515,0.004538828,0.003602979,0.003040883,0.002269506,0.002901458,0.001554388,0.0008015233,0.0006219196,0.0003726056
